City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Wind speed (mph),Cloud coverage,Datetime
Asău,RO,46.43,26.4,60.01,94,4.25,57,1592781390
Inhambane,MZ,-23.86,35.38,64.65,75,3.6,0,1592781372
São Gabriel da Cachoeira,BR,-0.13,-67.09,76.17,91,1.45,81,1592781399
Mount Gambier,AU,-37.83,140.77,48.2,100,12.75,90,1592781396
Río Gallegos,AR,-51.62,-69.22,35.6,81,5.46,70,1592781384
Atuona,PF,-9.8,-139.03,80.2,66,9.55,0,1592781310
Upernavik,GL,72.79,-56.15,41.72,67,4.81,100,1592781201
Bonfim,BR,3.08,-59.95,77.95,87,5.21,96,1592781468
Valparaíso,CL,-33.04,-71.63,60.8,72,9.17,84,1592781258
Puerto Ayora,EC,-0.74,-90.35,71.01,92,3.0,74,1592781062
Jumla,NP,29.27,82.18,59.97,71,1.83,94,1592781469
Acurenam,GQ,1.03,10.65,67.19,98,1.9,30,1592781469
Mogadishu,SO,2.04,45.34,78.98,82,21.94,100,1592781350
Narsaq,GL,60.92,-46.05,57.2,54,1.12,100,1592781332
Lampang,TH,18.33,99.5,75.99,80,1.32,45,1592781469
Tautira,PF,-17.73,-149.15,84.2,62,6.93,75,1592781374
Hithadhoo,MV,-0.6,73.08,83.48,69,5.12,40,1592781349
Ponta do Sol,PT,32.67,-17.1,69.8,64,13.87,40,1592781112
Gouré,NE,13.98,10.27,90.0,23,8.99,0,1592781470
Horasan,TR,40.05,42.17,49.35,82,1.63,52,1592781470
Xifeng,CN,42.74,124.72,69.8,75,8.93,100,1592781470
Port Keats,AU,-14.25,129.55,72.5,38,13.73,0,1592781470
Natal'insk,RU,56.47,57.87,38.59,92,3.94,7,1592781470
Sunbury,AU,-37.58,144.73,46.99,81,10.29,44,1592781470
Road Town,VG,18.42,-64.62,86.0,74,14.99,20,1592781441
Mattru,SL,7.62,-11.83,75.49,97,1.52,100,1592781471
Faanui,PF,-16.48,-151.75,78.01,82,22.32,94,1592781349
Hualmay,PE,-11.1,-77.61,63.34,83,5.88,19,1592781325
Baijiantan,CN,45.63,85.18,60.04,31,4.65,0,1592781471
Morro Bay,US,35.37,-120.85,89.01,43,8.01,16,1592781471
Jamestown,US,42.1,-79.24,79.0,69,8.05,90,1592781304
Pisco,PE,-13.7,-76.22,64.4,77,8.05,90,1592781389
Nikolskoye,RU,59.7,30.79,59.0,67,4.47,0,1592781341
Tekeli,KZ,44.83,78.82,54.3,31,8.37,0,1592781472
Cidreira,BR,-30.18,-50.21,70.38,75,6.69,57,1592781065
Bahía Solano,CO,6.23,-77.4,81.09,79,5.48,77,1592781472
Ancud,CL,-41.87,-73.82,48.0,93,17.22,90,1592781336
Brigantine,US,39.41,-74.36,78.8,61,9.17,1,1592781245
Camopi,GF,3.17,-52.32,73.67,96,3.0,26,1592781371
Thompson,CA,55.74,-97.86,60.8,82,5.82,75,1592781336
Mahibadhoo,MV,3.78,72.97,83.1,75,10.25,100,1592781472
Cabo San Lucas,MX,22.89,-109.91,87.01,57,9.17,5,1592781357
Hilo,US,19.73,-155.09,82.4,58,8.05,90,1592781330
Sept-Îles,CA,50.2,-66.38,55.4,87,10.29,75,1592781473
Lahat,ID,-3.8,103.53,71.91,88,2.53,88,1592781473
Itambacuri,BR,-18.03,-41.69,63.01,78,3.38,10,1592781473
Doha,QA,25.29,51.53,93.2,34,10.29,2,1592781473
Saint Paul Harbor,US,57.79,-152.41,53.6,81,11.41,90,1592781198
Bilibino,RU,68.05,166.44,82.44,26,16.71,54,1592781473
Peniche,PT,39.36,-9.38,66.99,88,10.0,3,1592781187
Roebourne,AU,-20.78,117.13,64.02,38,11.95,0,1592781473
Zabaykal'sk,RU,49.63,117.32,63.34,52,8.23,95,1592781403
Saskylakh,RU,71.92,114.08,57.22,59,9.37,73,1592781326
Montrose,US,38.42,-108.27,87.8,12,8.05,1,1592781474
Sovetskiy,RU,61.36,63.58,42.73,92,7.81,89,1592781474
Jining,CN,35.41,116.58,75.99,38,10.47,53,1592781474
Yellowknife,CA,62.46,-114.35,80.01,33,17.22,20,1592781197
Santa Fe,AR,-31.63,-60.7,61.0,65,1.99,61,1592781474
Lüderitz,NA,-26.65,15.16,51.8,93,1.12,0,1592781365
Bethel,US,41.37,-73.41,84.2,48,4.7,1,1592781330
Albany,US,42.6,-73.97,90.0,45,4.59,46,1592781207
Hong Kong,HK,22.29,114.16,86.0,74,10.0,99,1592781218
Lucknow,IN,26.85,80.92,80.6,88,3.36,75,1592781475
Tuktoyaktuk,CA,69.45,-133.04,51.8,66,10.29,40,1592781314
Buzdyak,RU,54.58,54.55,41.97,84,5.46,3,1592781475
São Filipe,CV,14.9,-24.5,76.41,83,11.36,10,1592781367
Kulu,TR,39.1,33.08,61.25,67,7.25,41,1592781475
Lavrentiya,RU,65.58,-171.0,58.26,43,6.71,6,1592781213
Ugoofaaru,MV,5.67,73.0,82.92,75,11.52,100,1592781366
Oranjemund,NA,-28.55,16.43,55.72,86,7.02,0,1592781476
Kavaratti,IN,10.57,72.64,83.57,76,16.26,100,1592781358
La Santisima Trinidad,BO,-14.83,-64.9,79.93,66,4.21,53,1592781347
Uruçuí,BR,-7.23,-44.56,73.72,66,4.52,29,1592781476
Ahwa,IN,20.75,73.68,75.0,89,7.94,97,1592781396
Nome,US,64.5,-165.41,68.0,76,10.29,75,1592781317
Iqaluit,CA,63.75,-68.51,41.0,75,2.24,75,1592781394
Lata,PT,40.16,-8.33,63.0,88,3.58,11,1592781476
Catuday,PH,16.29,119.81,81.97,79,4.52,81,1592781477
Severo-Kuril'sk,RU,50.68,156.12,48.29,81,4.65,88,1592781334
Arman',RU,59.7,150.17,59.05,65,4.36,0,1592781347
Qaanaaq,GL,77.48,-69.36,39.29,72,4.05,32,1592781198
Wanning,CN,18.8,110.4,83.17,86,12.48,23,1592781326
Bonthe,SL,7.53,-12.51,79.29,85,5.5,100,1592781315
North Bend,US,43.41,-124.22,69.01,68,19.46,20,1592781477
Nouadhibou,MR,20.93,-17.03,75.2,64,16.11,0,1592781477
Mīzan Teferī,ET,6.98,35.58,62.58,86,2.62,46,1592781478
Roald,NO,62.58,6.13,59.0,93,5.82,100,1592781478
Makakilo City,US,21.35,-158.09,86.0,61,9.17,75,1592781478
College,US,64.86,-147.8,53.6,93,3.36,90,1592781365
Port Montt,CL,-41.47,-72.94,48.2,81,17.22,90,1592781479
Provideniya,RU,64.38,-173.3,57.2,58,13.42,3,1592781329
Saint-Leu,RE,-21.15,55.28,66.2,77,6.93,28,1592781405
Sinnamary,GF,5.38,-52.95,78.67,84,9.44,7,1592781339
Bengkulu,ID,-3.8,102.27,75.58,89,4.7,95,1592781392
Prince Rupert,CA,54.32,-130.32,59.0,58,6.93,20,1592781403
Dikson,RU,73.51,80.55,43.39,79,12.73,66,1592781317
Mount Isa,AU,-20.73,139.5,53.6,46,18.34,0,1592781309
Kupang,ID,-10.17,123.58,77.0,78,11.41,20,1592781480
Port Elizabeth,ZA,-33.92,25.57,53.6,87,2.24,6,1592781324
Touros,BR,-5.2,-35.46,75.2,88,3.36,0,1592781312
Port Alfred,ZA,-33.59,26.89,60.01,93,4.92,9,1592781327
Nueva Guinea,NI,11.69,-84.46,75.18,96,8.3,100,1592781480
Chubbuck,US,42.92,-112.47,80.6,32,23.04,40,1592781480
Moerai,PF,-22.43,-151.33,70.23,71,18.48,100,1592781480
Zhigansk,RU,66.77,123.37,66.16,73,11.81,0,1592781348
Bereket,TM,39.24,55.52,75.61,58,12.46,0,1592781481
Padampur,IN,29.68,73.62,96.28,24,3.22,20,1592781481
Hermanus,ZA,-34.42,19.23,55.0,93,1.01,54,1592781204
Ilulissat,GL,69.22,-51.1,46.4,52,4.7,47,1592781321
Novyy Urgal,RU,51.07,132.56,49.89,91,6.76,100,1592781481
Noumea,NC,-22.28,166.46,69.8,64,2.24,0,1592781337
Longyearbyen,SJ,78.22,15.64,41.32,69,1.45,5,1592781209
Cape Town,ZA,-33.93,18.42,55.0,93,4.7,20,1592781074
George Town,MY,5.41,100.34,78.8,100,2.24,20,1592781268
Władysławowo,PL,54.79,18.4,64.99,93,9.17,75,1592781204
Chui,UY,-33.7,-53.46,59.02,94,7.14,78,1592781355
Tahoua,NE,14.89,5.27,89.6,43,9.17,45,1592781482
Alofi,NU,-19.06,-169.92,78.8,83,11.41,58,1592781353
Itoman,JP,26.12,127.67,80.6,88,5.82,75,1592781387
Kavieng,PG,-2.57,150.8,84.72,69,4.0,32,1592781320
Sochi,RU,43.6,39.73,66.2,88,4.47,25,1592781294
Alyangula,AU,-13.85,136.42,69.8,100,3.36,0,1592781226
Maun,BW,-19.98,23.42,46.4,43,1.12,0,1592781482
Coquimbo,CL,-29.95,-71.34,57.2,87,6.93,24,1592781310
Mezen',RU,65.85,44.24,43.39,79,5.99,89,1592781483
Kaitangata,NZ,-46.28,169.85,40.82,68,3.02,0,1592781363
Salekhard,RU,66.53,66.6,44.51,78,9.51,99,1592781483
Clyde River,CA,70.47,-68.59,46.4,75,4.7,1,1592781338
Nyurba,RU,63.28,118.33,62.67,85,8.81,74,1592781232
Aklavik,CA,68.22,-135.01,57.2,62,5.82,75,1592781220
Houston,US,29.76,-95.36,86.0,83,5.82,75,1592781090
Vila,PT,42.03,-8.16,64.0,100,5.82,90,1592781385
Vila Velha,BR,-20.33,-40.29,73.4,83,3.36,0,1592781111
Torbay,CA,47.67,-52.73,53.6,58,11.41,90,1592781326
Odžak,BA,45.01,18.33,61.0,83,5.99,100,1592781484
Phibun Mangsahan,TH,15.24,105.23,78.8,100,2.24,7,1592781484
Puerto Escondido,MX,15.85,-97.07,89.6,66,5.82,40,1592781362
Avera,US,33.19,-82.53,91.4,46,6.93,75,1592781346
Erzin,TR,36.96,36.2,71.01,91,1.01,0,1592781328
Yerbogachën,RU,61.28,108.01,69.8,56,3.74,42,1592781484
Umluj,SA,25.02,37.27,84.99,39,6.82,52,1592781093
La Paz,BO,-16.5,-68.15,55.4,9,8.05,0,1592781265
Quatre Cocos,MU,-20.21,57.76,70.0,83,10.29,40,1592781337
Mitsamiouli,KM,-11.38,43.28,78.21,80,16.51,76,1592781485
Cherskiy,RU,68.75,161.3,85.08,22,17.13,14,1592781332
Malanje,AO,-9.54,16.34,58.05,36,1.07,0,1592781399
Hay River,CA,60.82,-115.8,84.2,32,12.75,40,1592781485
San Policarpo,PH,12.18,125.51,83.61,77,8.03,81,1592781485
Hasaki,JP,35.73,140.83,68.0,94,12.75,75,1592781313
Cache Creek,CA,50.81,-121.32,73.0,37,6.93,90,1592781369
Chivacoa,VE,10.16,-68.89,75.25,86,3.2,92,1592781486
Nantucket,US,41.28,-70.1,70.0,93,5.82,90,1592781358
Rawson,AR,-43.3,-65.1,50.05,49,6.55,70,1592781319
Pacific Grove,US,36.62,-121.92,73.0,64,9.17,1,1592781384
Kaduna,NG,10.52,7.44,73.47,86,8.77,52,1592781310
Ust'-Uda,RU,54.17,103.03,61.12,68,3.22,36,1592781486
Ubari,LY,26.59,12.78,82.33,15,16.44,2,1592781486
Rancho Palos Verdes,US,33.74,-118.39,71.01,73,16.11,40,1592781487
Nuuk,GL,64.18,-51.72,42.8,81,5.82,41,1592781487
Praia,CV,14.92,-23.51,78.8,74,11.41,20,1592781135
Zhicheng,CN,30.3,111.5,69.01,98,1.19,99,1592781487
Saldanha,ZA,-33.01,17.94,51.8,93,1.12,35,1592781362
Sungai Padi,TH,6.09,101.88,78.8,94,2.24,20,1592781487
Pangnirtung,CA,66.15,-65.71,49.19,56,3.71,6,1592781487
Mollendo,PE,-17.02,-72.01,61.14,78,4.34,80,1592781487
Fairbanks,US,64.84,-147.72,53.6,100,9.17,90,1592781348
Gimbi,ET,9.17,35.83,58.06,100,1.95,100,1592781488
Anito,PH,12.45,125.29,82.56,79,6.24,86,1592781488
Otradnoye,RU,59.78,30.82,59.0,67,4.47,0,1592781488
Antofagasta,CL,-23.65,-70.4,59.0,72,10.29,75,1592781488
Nanortalik,GL,60.14,-45.24,45.18,71,10.67,100,1592781341
Belyy Yar,RU,53.6,91.39,51.8,81,4.47,75,1592781360
Carnarvon,AU,-24.87,113.63,57.2,82,6.93,0,1592781321
Isiro,CD,2.77,27.62,66.36,97,1.68,97,1592781489
Kargasok,RU,59.06,80.86,53.2,81,12.35,100,1592781489
Fort Nelson,CA,58.81,-122.7,57.2,82,3.36,75,1592781369
Sisimiut,GL,66.94,-53.67,48.34,54,9.69,0,1592781191
Emerald,AU,-23.53,148.17,63.0,41,9.17,40,1592781489
Kyabé,TD,9.45,18.94,77.65,69,5.28,91,1592781393
Seminole,US,28.71,-81.21,93.99,41,4.7,1,1592781489
Paraná,AR,-31.73,-60.52,61.0,65,1.99,71,1592781490
Yumen,CN,40.28,97.2,61.75,51,6.06,31,1592781367
Lagoa,PT,39.05,-27.98,65.97,85,19.42,0,1592781091
Alakurtti,RU,66.97,30.35,51.01,73,3.0,38,1592781490
Srednekolymsk,RU,67.45,153.68,86.95,23,9.84,0,1592781378
Patnos,TR,39.23,42.86,51.89,69,1.79,67,1592781491
Tortolì,IT,39.93,9.66,69.8,73,9.17,5,1592781492
Bemidji,US,47.47,-94.88,71.01,45,16.11,1,1592781219
Denia,ES,38.84,0.11,73.99,88,1.99,0,1592781492
Lompoc,US,34.64,-120.46,66.99,72,13.87,10,1592781452
Camacha,PT,33.08,-16.33,69.8,68,11.41,40,1592781206
Snåase,NO,64.25,12.38,65.93,50,6.6,29,1592781492
Abonnema,NG,4.71,6.79,74.97,92,3.87,96,1592781492
Mayumba,GA,-3.43,10.66,71.76,92,2.95,11,1592781428
Bubaque,GW,11.28,-15.83,81.61,86,14.72,59,1592781237
Kars,TR,40.6,43.09,51.8,87,1.12,75,1592781493
Kontagora,NG,10.4,5.47,76.03,87,7.85,100,1592781493
Kismayo,SO,-0.36,42.55,78.94,79,20.36,71,1592781493
Labateca,CO,7.3,-72.49,80.6,69,11.41,75,1592781493
Chapais,CA,49.78,-74.85,86.0,40,17.22,75,1592781493
Labuhan,ID,-6.88,112.21,77.16,88,8.12,98,1592781357
Zhalantun,CN,48.0,122.72,58.78,78,11.9,63,1592781494
Kirakira,SB,-10.45,161.92,84.29,74,6.93,93,1592781494
Te Anau,NZ,-45.42,167.72,43.54,70,1.05,12,1592781364
Magadan,RU,59.57,150.8,57.58,68,3.2,0,1592781494
Kostanay,KZ,53.17,63.58,51.8,87,6.71,40,1592781494
Tonstad,NO,58.66,6.72,61.0,90,2.57,97,1592781494
Isangel,VU,-19.55,169.27,77.0,73,9.17,40,1592781400
Hobyo,SO,5.35,48.53,79.93,69,25.32,68,1592781340
Tvøroyri,FO,61.56,-6.81,50.0,100,10.29,65,1592781495
Jardim,BR,-21.48,-56.14,73.17,59,4.45,0,1592781495
Abbeville,FR,50.1,1.83,55.0,74,8.23,5,1592781495
Alindao,CF,5.03,21.21,67.59,95,2.28,75,1592781495
Muroto-misakicho,JP,33.28,134.15,73.4,78,9.17,20,1592781387
Along,IN,28.17,94.77,71.94,89,1.03,57,1592781496
Loandjili,CG,-4.76,11.86,72.43,88,2.17,0,1592781496
Takoradze,GH,4.88,-1.76,77.16,87,12.21,100,1592781389
Launceston,AU,-41.45,147.17,46.99,100,2.55,90,1592781496
Zabul Province,AF,32.25,67.25,69.22,17,6.93,0,1592781332
San Luis,AR,-33.3,-66.34,50.86,42,16.28,92,1592781353
Pleasanton,US,37.66,-121.87,84.99,37,14.99,1,1592781382
Kawalu,ID,-7.38,108.21,71.67,92,1.61,98,1592781340
Saint-Augustin,CA,51.23,-58.65,56.43,66,14.7,95,1592781315
Akom,CM,2.67,12.71,66.99,97,2.71,45,1592781497
Alice Springs,AU,-23.7,133.88,37.4,59,4.7,0,1592781117
Beringovskiy,RU,63.05,179.32,53.47,46,6.58,0,1592781381
Oranjestad,AW,12.52,-70.03,86.0,74,21.92,20,1592781379
Colesberg,ZA,-30.72,25.1,40.8,67,1.12,0,1592781497
São João da Barra,BR,-21.64,-41.05,72.54,86,13.35,0,1592781376
Southbridge,US,42.08,-72.03,84.0,53,7.29,80,1592781497
Katsuura,JP,35.13,140.3,69.01,91,3.0,100,1592781332
Hofn,IS,64.25,-15.21,50.29,91,15.88,100,1592781327
Nagua,DO,19.38,-69.85,82.4,88,8.1,40,1592781305
Atherton,GB,53.52,-2.49,55.0,81,1.01,1,1592781303
Helong,CN,42.54,129.0,70.77,79,3.38,100,1592781498
Grindavik,IS,63.84,-22.43,57.2,62,20.8,99,1592781354
Acapulco de Juárez,MX,16.86,-99.89,89.6,66,10.29,20,1592781498
Sirajganj,BD,24.45,89.72,82.26,84,13.98,5,1592781498
Simao,CN,22.79,100.97,64.81,96,2.15,71,1592781498
Karatau,KZ,43.17,70.47,60.73,33,1.9,89,1592781498
Pemangkat,ID,1.17,108.97,76.84,89,6.67,87,1592781498
Soller,ES,39.77,2.72,72.0,78,3.36,23,1592781344
Luanda,AO,-8.84,13.23,71.6,94,4.7,75,1592781437
Mt. Pleasant,US,32.79,-79.86,87.01,70,10.29,1,1592781499
Am Timan,TD,11.03,20.28,78.12,63,7.52,76,1592781499
Norman Wells,CA,65.28,-126.83,53.6,100,10.29,90,1592781103
Anadyr,RU,64.75,177.48,75.0,38,4.47,51,1592781499
San Fernando del Valle de Catamarca,AR,-28.47,-65.79,60.93,69,4.79,17,1592781500
Città di Castello,IT,43.47,12.23,60.01,91,3.27,53,1592781500
Blackwater,AU,-23.58,148.88,63.86,45,8.19,49,1592781500
Kuytun,RU,54.34,101.5,59.43,73,5.66,50,1592781402
Luleå,SE,65.58,22.15,60.8,72,8.05,14,1592781409
Katobu,ID,-4.94,122.53,75.69,88,7.16,44,1592781500
Lorengau,PG,-2.02,147.27,83.91,71,3.09,7,1592781310
San Diego de la Unión,MX,21.47,-100.87,84.99,32,4.0,17,1592781500
Matagami,CA,49.75,-77.63,68.0,94,4.7,90,1592781500
Khani,GE,41.96,42.96,60.8,93,3.36,20,1592781501
Nānākuli,US,21.39,-158.15,86.0,61,9.17,75,1592781501
Baykit,RU,61.67,96.37,65.26,60,1.48,16,1592781375
Aplahoué,BJ,6.93,1.68,73.81,96,4.21,98,1592781501
Porto-Novo,BJ,6.5,2.6,80.6,88,11.41,40,1592781407
Arroyo de la Encomienda,ES,41.61,-4.8,64.99,82,6.93,0,1592781501
Vilhena,BR,-12.74,-60.15,77.0,65,5.82,33,1592781501
Rome,US,43.21,-75.46,87.8,38,5.82,1,1592781501
Tiksi,RU,71.69,128.87,43.09,78,12.97,3,1592781133
Kloulklubed,PW,7.04,134.26,78.8,88,9.17,75,1592781320
Khandyga,RU,62.67,135.6,68.05,46,2.53,39,1592781502
Broome,US,42.25,-75.83,82.99,54,5.82,40,1592781370
Saint-Pierre,RE,-21.34,55.48,66.2,77,6.93,48,1592781502
Sosnovo-Ozerskoye,RU,52.52,111.54,55.78,74,5.53,18,1592781502
Gizo Government Station,SB,-8.1,156.84,83.89,70,6.24,16,1592781502
West Plains,US,36.73,-91.85,82.99,61,4.7,20,1592781502
Westport,US,41.14,-73.36,82.99,67,8.81,68,1592781032
Nemuro,JP,43.32,145.57,51.76,87,11.43,75,1592781503
Coahuayana Viejo,MX,18.73,-103.68,87.8,58,11.41,40,1592781348
José Bonifácio,BR,-21.05,-49.69,71.49,53,4.36,22,1592781503
Ngunguru,NZ,-35.62,174.5,63.0,86,5.01,80,1592781503
Kruisfontein,ZA,-34.0,24.73,53.31,83,5.44,0,1592781357
Cayenne,GF,4.93,-52.33,80.6,88,3.36,8,1592781328
Alta Floresta,BR,-9.88,-56.09,75.22,64,4.03,11,1592781503
Kalevala,RU,65.2,31.17,54.25,68,6.42,44,1592781503
Mabaruma,GY,8.2,-59.78,77.38,88,5.59,100,1592781504
Mulegé,MX,26.88,-111.98,91.78,38,9.91,0,1592781504
Albury,AU,-36.08,146.92,45.0,100,1.92,90,1592781504
Sirsa,IN,29.53,75.02,93.92,33,3.0,19,1592781504
Kelo,TD,9.31,15.81,75.09,79,3.76,70,1592781504
Viedma,AR,-40.81,-63.0,47.53,53,4.63,35,1592781388
Roding,DE,49.2,12.52,60.01,80,1.01,0,1592781504
Onega,RU,63.91,38.14,46.99,70,4.54,32,1592781505
Nivala,FI,63.92,24.97,57.99,66,5.41,33,1592781505
Mahenge,TZ,-8.68,36.72,59.76,68,3.24,0,1592781505
Codajás,BR,-3.84,-62.06,80.1,74,2.35,47,1592781319
Kaeo,NZ,-35.1,173.78,63.0,3,10.0,33,1592781329
Ambilobe,MG,-13.2,49.05,71.64,86,3.51,0,1592781368
Sandy Bay,AU,-42.91,147.35,53.6,93,8.05,75,1592781505
Tamandaré,BR,-8.76,-35.1,76.03,75,9.51,0,1592781506
Garoowe,SO,8.41,48.48,84.78,40,17.94,81,1592781506
Saint Anthony,US,45.02,-93.22,73.4,73,5.82,90,1592781506
Rabo de Peixe,PT,37.8,-25.58,66.2,93,5.82,75,1592781506
Adrar,MR,20.5,-10.07,100.92,9,12.28,50,1592781206
Klaksvík,FO,62.23,-6.59,50.0,100,11.41,95,1592781338
Caravelas,BR,-17.71,-39.25,70.02,72,3.71,0,1592781401
Kalmunai,LK,7.42,81.82,82.45,70,8.39,100,1592781366
Inongo,CD,-1.95,18.27,73.38,68,4.29,99,1592781507
Marawi,PH,8.0,124.29,78.01,85,4.0,8,1592781076
Bud,US,39.45,-86.18,69.01,94,3.2,75,1592781389
Palauig,PH,15.44,119.9,83.46,72,3.36,77,1592781507
Sibolga,ID,1.74,98.78,76.33,82,2.86,99,1592781507
Portland,US,45.52,-122.68,75.99,43,8.05,40,1592781318
Mongoumba,CF,3.64,18.59,70.12,94,1.83,72,1592781507
Los Llanos de Aridane,ES,28.66,-17.92,71.6,73,13.87,75,1592781372
Obo,CF,5.4,26.49,67.41,97,1.36,3,1592781508
Sambava,MG,-14.27,50.17,72.79,90,13.38,71,1592781508
Abasolo,MX,20.45,-101.52,87.8,23,3.2,75,1592781341
Wilkie,CA,52.42,-108.7,66.0,54,1.99,8,1592781343
Auburn,US,47.31,-122.23,72.0,52,8.05,40,1592781508
Zhuhai,CN,22.28,113.57,87.01,89,11.41,20,1592781508
Bandarbeyla,SO,9.49,50.81,79.54,75,27.94,55,1592781508
Guerrero Negro,MX,27.98,-114.06,71.71,55,19.69,0,1592781306
Sortland,NO,68.69,15.42,60.01,72,6.93,31,1592781508
San Quintín,MX,30.48,-115.95,70.0,67,17.27,1,1592781360
Camiri,BO,-20.05,-63.52,72.37,78,8.32,43,1592781509
Talcahuano,CL,-36.72,-73.12,50.0,93,3.36,75,1592781509
Ahipara,NZ,-35.17,173.17,62.47,78,8.55,35,1592781211
Shimoda,JP,34.67,138.95,63.0,95,5.99,100,1592781339
Edd,ER,13.93,41.69,87.49,53,4.12,31,1592781509
Kahului,US,20.89,-156.47,87.8,43,18.34,40,1592781385
Archidona,ES,37.1,-4.39,75.99,41,2.82,0,1592781509
Marystown,CA,47.17,-55.15,47.97,78,6.4,79,1592781492
Mitchell,US,43.71,-98.03,78.8,47,9.17,1,1592781227
Teodoro Sampaio,BR,-22.53,-52.17,68.94,59,2.19,0,1592781434
Iralaya,HN,15.0,-83.23,80.6,88,10.29,75,1592781486
Tessalit,ML,20.2,1.01,94.5,9,12.3,0,1592781325
Kālpi,IN,26.12,79.73,87.78,51,2.17,3,1592781510
